NICO · Fecha,NICO · Tipo,NICO · Severidad,NICO · Titulo,NICO · Detalle,NICO · Lo necesito para,>>>,YO · ID,YO · Modulo,YO · Submodulo,YO · Canal,YO · Estado,YO · Compromiso,YO · Fecha resuelto,YO · Que se hizo,YO · Ref seguimiento
2026-07-24,Critica,Alta,Se desarrollo mas de lo pedido,Se avanzo en modulos fuera del alcance de la Fase 1 en vez de cerrar el flujo principal,2026-07-27,,OBS-001,General,Alcance,Reunion,Aceptada,2026-07-27,,Se congelo todo lo no prioritario y se acoto al flujo reserva-contacto-conversion-asistencia,
2026-07-24,Observacion,Media,No aceptar sugerencias de la IA fuera de alcance,Cualquier sugerencia que amplie el alcance no se implementa sin acuerdo previo,,,OBS-002,General,Metodo de trabajo,Reunion,Aceptada,,,Criterio aplicado desde ahora,
2026-07-24,Reclamo,Alta,Se entrego sin revisar en conjunto,Modulos entregados sin validacion previa terminaron fuera de lo esperado,2026-07-27,,OBS-003,CRM,Contactos,Reunion,Aceptada,2026-07-27,,Se revisa en conjunto antes de dar por cerrado cada modulo,
2026-07-24,Error critico,Alta,Publicacion de formularios falla,El formulario publico no queda disponible al publicarlo,2026-07-27,,OBS-004,Reservas,Formulario publico,Correo,En correccion,2026-07-27,,,
2026-07-24,Cambio solicitado,Media,Acotar Meta a conversiones,Dejar solo conversiones de reservas y asistencias. Metricas y Ads AI Connectors quedan para despues,,,OBS-005,Meta / Pixel,Alcance,Reunion,Aceptada,,,Alcance ajustado,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
